Year,Title,Название,Genre,Director,Actors,Mark,Comment
2013,Homefront,Последний рубеж,,,,4,Стэтэм в шляпе с козырьком.
2013,Rush,Гонка,,,,S,средненькое кино о противостоянии двух пилотов F1
2013,Thor: The Dark World,Тор 2: Царство тьмы,,,,S,Фигня. Но Хопкинс вообщем-то красавчик и сдесь.
2013,Gravity,Гравитация,,,,7,"Отлично. Но в конце гг уж больно весёлая стала, хотелось бы по-мелодраматичнее всё."
2013,The Wolf of Wall Street,Волк с Уолл-стрит,,,,7,Неплохо.
2013,CBGB,Клуб «CBGB»,,,,6,Интересно.
2013,Jackass Presents: Bad Grandpa,Несносный дед.,,,,3,Шляпа в стиле Jackass
2013,American Hustle,Афера по-фмерикански,,,,7,Неплохо.
2013,The Railway Man,Возмездие,"Drama, Biopic",,,6,Не самая плохая драматическая история.
2013,47 Ronin,47 Ронинов,,,,S,
2013,The Fifth Estate,Пятая власть,,,,6,Good
2013,The Spectacular Now,Захватывающее время,,,,S,"Мелодрама для подростков, но достаточно искренне и убедительно."
2013,Географ глобус пропил.,Географ глобус пропил.,,,,5,Посредственно.
2013,The Lovelace,Ловлэйс,,,,S,Биопик про порноактрису снявшуюся в Глубокая глотка.
2010,The Experiment,Эксперимент,,,,,
2013,Grown Ups 2,Одноклассники 2,Comedy,,,4,"Комедия с Адамом Сэндлером. Если хочется ненапряжного тупняка, то будет неплохой выбор."
2006,Renaissance,Ренессанс,"Animation, Action, Sci-Fi",,,3,Скука смертная.
2001,Millennium Actress,Актриса тысячелетия,"Animation, Drama, Fantasy",,,9,Отличная вещь!
1995,The Usual Suspects,Подозрительные лица,"drama, neonoir",,,7,Очень хорошо. Играет Кевин Спэйси.
1995,Memories,Воспоминания о будущем,Animation,,,8,"авторское аниме Кацухиро Отомо, вышедшее в 1995 году, экранизация трех манга-новелл."
2011,Red state,Красный штат,"Drama,thriller",,,5,Средненько.
1992,Hard boiled,Круто сваренные,,,,6,Модный боевик от Джона Ву.
1990,Dances with Wolves,Танцующий с волками,,,Kevin Costner,6,История о взаимоотношениях американцев с индейцами. Нелохо.
1957,12 Angry Men,12 рaзгневанных мужчин,"Crime, Drama",,,8,"американская классика, отличное кино."
2011,Generation П,Generation П,,,,5,"книга хорошо, данная адаптация неплохая."
2010,Shutter Island,Остров проклятых,"Mystery, Thriller",,Leonardo DiCaprio,8,"прямо очень хорошо, рекомендую."
1979,Alien,Чужой,"Horror, Sci-Fi",,Sigourney Weaver,8,Классика.
1986,Aliens,Чужие,"Action, Adventure, Sci-Fi",,Sigourney Weaver,7,Классика. Тут уже больше экшона.
1992,Alien³,Чужoй 3,"Action, Horror, Sci-Fi",,Sigourney Weaver,6,хорошо.
1997,Alien: Resurrection,Чужoй 4: Воскрешение,"Action, Horror, Sci-Fi",,Sigourney Weaver,6,По-прежнему довольно неплохо.
2004,AVP: Alien vs. Predator,Чужой против Хищника,"Action, Horror, Sci-Fi",,,3,
2007,AVPR: Aliens vs Predator – Requiem,Чужие против Хищника: Реквием,,,,2,
2009,Assault girls,Штурмовые девочки,"Action, Sci-Fi",,,4,нихуя не понял.
